row_id,person_id,name,description,birth_date
people_34205,Q36441,Aurora Snow,"American journalist, pornographic actress and director",1981-11-26T00:00:00Z
people_34206,Q3644263,Brenno Placido,Italian actor,1991-08-23T00:00:00Z
people_34207,Q3644457,Brian Hallisay,American actor,1978-10-31T00:00:00Z
people_34208,Q3644473,Brian Koppelman,American film director,1966-04-27T00:00:00Z
people_34209,Q3644509,Brian Steele,American actor,1956-10-10T00:00:00Z
people_34210,Q3644511,Brian Stokes Mitchell,American actor,1957-10-31T00:00:00Z
people_34211,Q3644512,Brian Tarantina,American actor (1959-2019),1959-03-27T00:00:00Z
people_34212,Q3644758,Brigitte Christensen,Danish actress,1957-06-28T00:00:00Z
people_34213,Q3645354,Brooke Williams,New Zealand actress,1984-01-03T00:00:00Z
people_34214,Q3645483,Bruce MacVittie,American actor (1956–2022),1956-10-14T00:00:00Z
people_34215,Q3645492,Bruce Phillips,New Zealand actor,1951-09-13T00:00:00Z
people_34216,Q3645498,Bruce Sinofsky,American documentary film director (1956–2015),1956-03-31T00:00:00Z
people_34217,Q3645559,Bruna Lombardi,Brazilian actress,1952-08-01T00:00:00Z
people_34218,Q3645621,Bruno Armando,Italian actor (1952-2020),1952-12-17T00:00:00Z
people_34219,Q3645652,Bruno Bilotta,Italian actor,1959-04-24T00:00:00Z
people_34220,Q3646124,Bryan Hearne,American actor,1988-09-23T00:00:00Z
people_34221,Q3646680,Arnošt Goldflam,"Czech playwright, actor, presenter, professor, publicist, scriptwriter, writer and university educator",1946-10-22T00:00:00Z
people_34222,Q3647258,Odeya Rush,Israeli actress and model,1997-05-12T00:00:00Z
people_34223,Q36475147,Brad Isaacs,US producer/ screenwriter,
people_34224,Q364822,Scott Foley,American actor,1972-07-15T00:00:00Z
people_34225,Q3648334,Mark Anthony,British pornographic actor,1967-03-24T00:00:00Z
people_34226,Q364986,Adolfo Assor,Chilean actor,1945-01-01T00:00:00Z
people_34227,Q3649957,Caitlin FitzGerald,American actress (born 1983),1983-08-25T00:00:00Z
people_34228,Q365007,Minissha Lamba,Indian actress,1985-01-18T00:00:00Z
people_34229,Q365023,Judd Hirsch,American actor,1935-03-15T00:00:00Z
people_34230,Q3651401,Camilla Diana,Italian actress,1990-04-17T00:00:00Z
people_34231,Q3651404,Camilla Filippi,Italian actress,1979-10-13T00:00:00Z
people_34232,Q365144,Caitlyn Jenner,American media personality and retired decathlete,1949-10-28T00:00:00Z
people_34233,Q3651544,Camillo Milli,Italian actor (1929-2022),1929-08-01T00:00:00Z
people_34234,Q3652017,Anna Gurji,Georgian actress,1991-04-01T00:00:00Z
people_34235,Q3652125,Liv Mjönes,Swedish actress,1979-09-18T00:00:00Z
people_34236,Q3652147,Navneet Kaur Rana,Indian actress and Politician,1986-01-03T00:00:00Z
people_34237,Q365278,Eric Jungmann,American actor,1981-12-02T00:00:00Z
people_34238,Q3653291,Maria Luísa Mendonça,Brazilian actress,1970-01-30T00:00:00Z
people_34239,Q365474,David Faustino,American actor and rap artist,1974-03-03T00:00:00Z
people_34240,Q365484,David Gallagher,American actor,1985-02-09T00:00:00Z
people_34241,Q3655880,Christian Rubeck,Norwegian actor,1980-01-01T00:00:00Z
people_34242,Q3655989,Mats Eldøen,Norwegian actor,1983-03-22T00:00:00Z
people_34243,Q3656159,Dessy Tenekedjieva,Bulgarian actress,1971-04-12T00:00:00Z
people_34244,Q365616,Julio Médem,Spanish film director and screenwriter,1958-10-21T00:00:00Z
people_34245,Q365721,Tim Bagley,American actor and comedian,1957-08-17T00:00:00Z
people_34246,Q365726,Nigel Cole,British film director,1959-01-01T00:00:00Z
people_34247,Q3657918,Georgi Cherkelov,Bulgarian actor (1930–2012),1930-06-25T00:00:00Z
people_34248,Q365844,Jerry Weintraub,American film producer and former chairman and CEO of United Artists (1937–2015),1937-09-26T00:00:00Z
people_34249,Q365915,Charlie Day,"American actor, writer and producer (born 1976)",1976-02-09T00:00:00Z
people_34250,Q3659522,Jin Ji-hui,South Korean actress,1999-03-25T00:00:00Z
people_34251,Q3659638,Carlo Monni,Italian actor (1943–2013),1943-10-23T00:00:00Z
people_34252,Q3659834,Carlo Sarti,Italian writer,1962-01-01T00:00:00Z
people_34253,Q3660084,Carlos Kaspar,Argentine actor y psicólogo,1965-01-19T00:00:00Z
people_34254,Q366012,Avery Brooks,American actor and director,1948-10-02T00:00:00Z
people_34255,Q366016,Philippe Douste-Blazy,French politician,1953-01-01T00:00:00Z
people_34256,Q3660187,Carlson Young,American actress and director,1990-10-29T00:00:00Z
people_34257,Q3660210,Carmela Vincenti,"Italian film actor, television presenter and actor",1957-01-09T00:00:00Z
people_34258,Q366044,Dee Snider,American singer,1955-03-15T00:00:00Z
people_34259,Q3660559,Carolina Iaquaniello,Italian actress,1990-01-27T00:00:00Z
people_34260,Q366057,Patrice Chéreau,"French opera and theatre director, filmmaker, actor and producer (1944-2013)",1944-11-02T00:00:00Z
people_34261,Q3660833,Anfisa Vistingausen,Russian actor,1999-09-27T00:00:00Z
people_34262,Q3660903,Moriah Peters,musician,1992-10-02T00:00:00Z
people_34263,Q36612791,John Murlowski,American film director,1953-01-01T00:00:00Z
people_34264,Q366168,Tom Long,Australian actor (1968–2020),1968-08-03T00:00:00Z
people_34265,Q36618498,Rodrigo Rodero,Spanish film director,1974-01-01T00:00:00Z
people_34266,Q3661896,Cass Pennant,British writer,1958-03-06T00:00:00Z
people_34267,Q366195,Kevin Gage,American actor,1959-05-26T00:00:00Z
people_34268,Q366242,Adoor Gopalakrishnan,Indian film director (born 1941),1941-07-03T00:00:00Z
people_34269,Q366272,Vincent Grass,Belgian actor,1949-01-09T00:00:00Z
people_34270,Q36628859,Andri Snær Helgason,Icelandic actor,
people_34271,Q366322,Alexis Denisof,American actor,1966-02-25T00:00:00Z
people_34272,Q3663518,Caterina Misasi,Italian actress,1983-01-10T00:00:00Z
people_34273,Q366403,Matt Battaglia,American football player,1965-09-25T00:00:00Z
people_34274,Q3664104,Cecilia Dazzi,Italian actress,1969-10-17T00:00:00Z
people_34275,Q366563,Dick Clark,American radio and television personality (1929–2012),1929-11-30T00:00:00Z
people_34276,Q366584,George Strait,American country music singer (born 1952),1952-05-18T00:00:00Z
people_34277,Q36660255,Jack Haven,American actor (born 1994),1994-08-10T00:00:00Z
people_34278,Q366664,Sam Jones III,American actor,1983-04-29T00:00:00Z
people_34279,Q366685,Tuncel Kurtiz,Turkish actor and director (1936–2013),1936-02-01T00:00:00Z
people_34280,Q3666978,Checco Zalone,"Italian comedian, musician and actor",1977-06-03T00:00:00Z
people_34281,Q3667244,Cheryl Campbell,British actress,1949-05-22T00:00:00Z
