row_id,movie_id,person_id,statement_id
directors_8596,Q15059358,Q43203,Q15059358-0644e32f-4bef-6c93-72e1-3dc7f5240c2e
directors_8597,Q15059365,Q1344373,Q15059365-8DB49EC1-8BAB-4224-BBD4-1823FA754F24
directors_8598,Q15061875,Q562108,Q15061875-d47422be-483f-5fd1-1ae4-0d01df7010bc
directors_8599,Q1506263,Q450309,q1506263-CC7EF2E0-68A6-44C3-B1DE-F98D2EE9BABF
directors_8600,Q15062988,Q108805770,Q15062988-51B7197A-158B-470F-B0CB-E91922539C8C
directors_8601,Q1506377,Q346595,q1506377-84B24CFC-6A18-49B8-90E0-97822BF258F5
directors_8602,Q1506412,Q2913350,q1506412-6DDACAE8-7344-4AB6-AD9F-868119BE9339
directors_8603,Q1506671,Q3308160,q1506671-BF9FC053-AFAD-434B-BCB5-BBDF9F8154A5
directors_8604,Q15068238,Q2593,Q15068238-1a8fc2b2-4683-f819-da6b-a53d8192728d
directors_8605,Q1506910,Q1349845,q1506910-0DE68314-3A11-4E43-8C88-6AF843800853
directors_8606,Q15070713,Q113630849,Q15070713-C8E4A015-2F1A-472A-A808-B3946CAEDA1E
directors_8607,Q15070730,Q20685410,Q15070730-15BBCC45-5D61-4F0C-A7F6-EA1063E68CA1
directors_8608,Q15070775,Q269670,Q15070775-CB4EF1C7-6A84-455E-A4EA-017B3E3FA2DE
directors_8609,Q15070792,Q16729509,Q15070792-05BBAAB1-AA53-4055-B0CD-22B80C3E0E2F
directors_8610,Q15070803,Q21468932,Q15070803-B25935B8-7615-41D8-9312-E9A26EE83E3D
directors_8611,Q15072361,Q7293096,Q15072361-E87B4F6A-A96E-4E21-99C1-B6845A8390D6
