row_id,movie_id,title,description,release_date,duration
movies_195,Q1016790,Burning Bright,2010 film directed by Carlos Brooks,2010-01-01T00:00:00Z,86.0
movies_196,Q101714170,Landscapes of Memories: The Life of Ruth Kluger,2011 documentary film by Renata Schmidtkunz,2011-01-01T00:00:00Z,87.0
movies_197,Q1017254,Buscando a Miguel,2007 film by Juan Fischer,2007-08-15T00:00:00Z,107.0
movies_198,Q101726897,A Christmas Tale,2021 film directed by Hannes Holm,2021-11-12T00:00:00Z,104.0
movies_199,Q101799929,Tigers,2021 film directed by Ronnie Sandahl,2021-08-27T00:00:00Z,116.0
movies_200,Q1018042,Butter,2011 film by Jim Field Smith,2011-01-01T00:00:00Z,120.0
movies_201,Q1018109,The Butterfly Effect 3: Revelations,2009 film directed by Seth Grossman,2009-01-01T00:00:00Z,86.0
movies_202,Q1018477,Bye bye Berlusconi!,2005 film by Jan Henrik Stahlberg,2005-01-01T00:00:00Z,89.0
movies_203,Q1018486,Bye Bye Blackbird,2005 film by Robinson Savary,2005-01-01T00:00:00Z,99.0
movies_204,Q1018491,Bye Bye Bluebird,1999 film directed by Katrin Ottarsdóttir,2000-01-29T00:00:00Z,97.0
movies_205,Q101854947,Ditching Party,2010 film directed by Demetrius Navarro,2010-01-01T00:00:00Z,
movies_206,Q101943976,Verplant,2021 film directed by Waldemar Schleicher,2021-01-01T00:00:00Z,108.0
movies_207,Q101995706,Be Vaghte Talagh,film directed by Hassan Hajgozar,2018-01-01T00:00:00Z,
movies_208,Q102015061,Betrayed,2020 film directed by Eirik Svensson,2020-12-25T00:00:00Z,126.0
movies_209,Q102036245,Licorice Pizza,2021 film directed by Paul Thomas Anderson,2021-12-25T00:00:00Z,133.0
movies_210,Q102036246,Drishyam 2,2021 film directed by Jeethu Joseph,2021-02-19T00:00:00Z,140.0
movies_211,Q102036255,Vacation Friends,2021 film directed by Clay Tarver,2021-08-27T00:00:00Z,103.0
movies_212,Q102036260,Please Baby Please,2022 film by Amanda Kramer,2022-01-01T00:00:00Z,95.0
movies_213,Q102036276,Sneakerella,2022 film directed by Elizabeth Allen Rosenbaum,2022-01-01T00:00:00Z,112.0
movies_214,Q102036297,You Will Remember Me,2020 film directed by Éric Tessier,2020-08-14T00:00:00Z,
movies_215,Q102036323,To Olivia,2021 film directed by John Hay,2021-02-19T00:00:00Z,99.0
movies_216,Q102037506,Oskars Kleid,2022 film by Hüseyin Tabak,2022-12-22T00:00:00Z,102.0
movies_217,Q102039464,The Divide,2021 film directed by Catherine Corsini,2021-01-01T00:00:00Z,108.0
movies_218,Q102046208,Home Sweet Home Alone,2021 film directed by Dan Mazer,2021-11-12T00:00:00Z,93.0
movies_219,Q102046244,Tiki-Taka,2020 film directed by Parambrata Chattopadhyay,2020-09-11T00:00:00Z,
movies_220,Q102047812,Velociraptor,2014 Mexican film,2014-06-07T00:00:00Z,95.0
movies_221,Q102047818,Guests in a Villa,2020 Italian film,2020-01-30T00:00:00Z,88.0
movies_222,Q102067365,Retirement Home,2022 film directed by Thomas Gilou,2022-02-16T00:00:00Z,97.0
movies_223,Q102076681,Anatomía de un Dandy,documentary film about Francisco Umbral,2020-11-20T00:00:00Z,90.0
movies_224,Q102076861,De Oost,film directed by Jim Taihuttu,2020-01-01T00:00:00Z,
movies_225,Q102079399,After Dark,2019 film directed by Kayden Kross,2018-09-27T00:00:00Z,
movies_226,Q102104699,Janowar,2021 film directed by Raihan Rafi,2021-01-14T00:00:00Z,
movies_227,Q102122726,Atomic Summer,2020 film directed by Gaël Lépingle,2020-01-01T00:00:00Z,80.0
movies_228,Q102124437,The Salt in Our Waters,2020 Film by Rezwan Shahriar Sumit,2020-01-01T00:00:00Z,106.0
movies_229,Q102128141,Under My Skin,2020 film directed by David O'Donnell,2020-10-29T00:00:00Z,97.0
movies_230,Q102147287,Vikram,2022 Tamil film directed by Lokesh Kanagaraj,2022-01-01T00:00:00Z,173.0
movies_231,Q1021571,The Stoning of Soraya M.,2008 film by Cyrus Nowrasteh,2008-09-07T00:00:00Z,109.0
movies_232,Q102162355,Fluidity,2019 film,2019-01-01T00:00:00Z,105.0
movies_233,Q102178337,Presidents,2021 film directed by Anne Fontaine,2021-01-01T00:00:00Z,98.0
movies_234,Q102180106,Deadpool & Wolverine,2024 Marvel Studios film by Shawn Levy,2024-07-24T00:00:00Z,128.0
movies_235,Q102185780,Le torrent,2022 French film directed by Anne Le Ny,2022-01-01T00:00:00Z,102.0
movies_236,Q102213117,Anaganaga O Athidhi,2020 film directed by Dayal Padmanabhan,2020-11-20T00:00:00Z,
movies_237,Q102219145,The People Upstairs,2020 film directed by Cesc Gay,2020-10-30T00:00:00Z,82.0
movies_238,Q102225,Harry Potter and the Goblet of Fire,2005 film directed by Mike Newell,2005-11-06T00:00:00Z,151.0
movies_239,Q102227477,Hannes,2021 film directed by Hans Steinbichler,2021-11-25T00:00:00Z,91.0
movies_240,Q102228542,Memories of a Teenager,2020 Argentine film,2020-07-23T00:00:00Z,97.0
movies_241,Q102235,Harry Potter and the Order of the Phoenix,2007 film directed by David Yates,2007-06-28T00:00:00Z,133.0
movies_242,Q1022379,C.R.A.Z.Y.,2005 film directed by Jean-Marc Vallée,2005-05-27T00:00:00Z,127.0
movies_243,Q102244,Harry Potter and the Chamber of Secrets,2002 film directed by Chris Columbus,2002-11-03T00:00:00Z,161.0
movies_244,Q102273941,Single in Seoul,2023 South Korean romantic comedy film,2023-11-29T00:00:00Z,102.0
movies_245,Q102282176,The Final Land,2019 film by Marcel Barion,2019-01-15T00:00:00Z,113.0
movies_246,Q102282310,Children of the Corn,2020 film directed by Kurt Wimmer,2020-10-23T00:00:00Z,82.0
movies_247,Q102288173,Karnawal,2020 film by Juan Pablo Félix,2020-03-21T00:00:00Z,95.0
movies_248,Q102312685,Poppy Field,2020 film directed by Eugen Jebeleanu,2020-01-01T00:00:00Z,81.0
movies_249,Q102315344,What Happened to Mr. Cha?,2021 film directed by Kim Dong-kyu,2021-01-01T00:00:00Z,106.0
movies_250,Q102328447,The Art of Return,2020 film directed by Pedro Collantes,2020-01-01T00:00:00Z,91.0
movies_251,Q102345779,An Uncertain Border,2019 film by Isabella Sandri,2019-10-24T00:00:00Z,118.0
movies_252,Q102351787,Meky,film directed by Šimon Šafránek,2020-01-01T00:00:00Z,80.0
movies_253,Q102389909,Shadows of the Deceased,Czech 2005 war film,2005-01-01T00:00:00Z,126.0
movies_254,Q102391022,Escape from room 18,short documentary film,2017-01-01T00:00:00Z,60.0
movies_255,Q102395353,Midnight at the Magnolia,2020 film directed by Max McGuire,2020-11-05T00:00:00Z,87.0
movies_256,Q102395995,Notes for My Son,2020 film directed by Carlos Sorin,2020-11-24T00:00:00Z,84.0
movies_257,Q102400480,Superwho?,2021 film directed by Philippe Lacheau,2021-11-14T00:00:00Z,82.0
