row_id,movie_id,person_id,statement_id
cast_32363,Q115760,Q6225504,Q115760-BA337C3B-B285-4720-87DC-656D4531128E
cast_32364,Q115760,Q6246589,Q115760-2BF7E752-3AD7-4562-A5FC-3318D6B0E5C0
cast_32365,Q115760,Q62975,q115760-2BF6A8C4-BAE8-42D8-BBCB-6AAED88BAC9C
cast_32366,Q115760,Q646724,Q115760-8563EACF-C517-4236-A048-87ACB9D652A7
cast_32367,Q115760,Q6491182,Q115760-B299654C-DAFE-410A-9335-BA5921EB0387
cast_32368,Q115760,Q73362,q115760-0662D0AE-36ED-458E-A1B0-38673FC1E159
cast_32369,Q115760,Q771329,Q115760-280E95F0-D376-4693-ABF0-D7BF4F3F2B58
cast_32370,Q115760,Q929719,Q115760-25EB35F8-3262-4BCD-8277-868F5FFC9D30
cast_32371,Q115760,Q979679,Q115760-8137C855-8EBB-485A-8652-9AE653502720
cast_32372,Q115766625,Q169963,Q115766625-3aead139-4885-8214-55c8-d5aab55cacf6
cast_32373,Q115766625,Q171745,Q115766625-770093e5-4ad5-0215-72dc-e3cf4718ccce
cast_32374,Q115766625,Q217004,Q115766625-a0105f50-4944-cc8e-0673-ec0739f6e873
cast_32375,Q115766625,Q229056,Q115766625-2b86fbf8-4498-1cde-11c6-3058d79d92bc
cast_32376,Q115766625,Q242739,Q115766625-bb8a7be6-4172-eafc-1219-6f2fc15223ff
cast_32377,Q115766625,Q2719909,Q115766625-6AA545B8-71BD-49B7-928B-9B9DD1DB775A
cast_32378,Q115766625,Q28889987,Q115766625-65941af2-47f9-5737-048f-c998b7fa909c
cast_32379,Q115766625,Q3726488,Q115766625-15B64E42-7E1E-478E-BDAF-46BEF821DC34
